onset	duration	type
1	n/a	boundary
114	1	S 85
304	1	S 86
504	1	S 87
695	1	S 88
895	1	S 89
1086	1	S 90
1286	1	S 91
1486	1	S 92
1677	1	S 93
1877	1	S 94
2068	1	S 95
2268	1	S 96
2458	1	S 97
2659	1	S 98
2859	1	S 99
3050	1	S100
3250	1	S101
3440	1	S102
3641	1	S103
3831	1	S104
4032	1	S105
4232	1	S106
4422	1	S107
4623	1	S108
4813	1	S109
5014	1	S110
5204	1	S111
5404	1	S112
5605	1	S113
5795	1	S114
5996	1	S115
6186	1	S116
6387	1	S117
6577	1	S118
6777	1	S119
6978	1	S120
7168	1	S121
7369	1	S122
7559	1	S123
7759	1	S124
7950	1	S125
8150	1	S126
8351	1	S127
8541	1	S128
8741	1	S129
8932	1	S130
9132	1	S131
9323	1	S132
9523	1	S133
9723	1	S134
9914	1	S135
10114	1	S136
10305	1	S137
10505	1	S138
10695	1	S139
10896	1	S140
11096	1	S141
11287	1	S142
11487	1	S143
11677	1	S144
11878	1	S145
12068	1	S146
12269	1	S147
12469	1	S148
12660	1	S149
12860	1	S150
13050	1	S151
13251	1	S152
13441	1	S153
13642	1	S154
13842	1	S155
14032	1	S156
14233	1	S157
14423	1	S158
14624	1	S159
14824	1	S160
15014	1	S161
15215	1	S162
15405	1	S163
15606	1	S164
15796	1	S165
15996	1	S166
16197	1	S167
16387	1	S168
16588	1	S169
16778	1	S170
16978	1	S171
17169	1	S172
17369	1	S173
17570	1	S174
17760	1	S175
17960	1	S176
18151	1	S177
18351	1	S178
18542	1	S179
18742	1	S180
18943	1	S181
19133	1	S182
19333	1	S183
19524	1	S184
19724	1	S185
19915	1	S186
20115	1	S187
20315	1	S188
20506	1	S189
20706	1	S190
20897	1	S191
21097	1	S192
21287	1	S193
21488	1	S194
21688	1	S195
21879	1	S196
22079	1	S197
22269	1	S198
22470	1	S199
22660	1	S200
22861	1	S201
23061	1	S202
23251	1	S203
23452	1	S204
23642	1	S205
23843	1	S206
24033	1	S207
24234	1	S208
24434	1	S209
24624	1	S210
24825	1	S211
25015	1	S212
25216	1	S213
25406	1	S214
25606	1	S215
25807	1	S216
25997	1	S217
26198	1	S218
26388	1	S219
26588	1	S220
26779	1	S221
26979	1	S222
27180	1	S223
27370	1	S224
27570	1	S225
27761	1	S226
27961	1	S227
28152	1	S228
28352	1	S229
28552	1	S230
28743	1	S231
28943	1	S232
29134	1	S233
29334	1	S234
29524	1	S235
29725	1	S236
29925	1	S237
30116	1	S238
30316	1	S239
30507	1	S240
30707	1	S241
30907	1	S242
31098	1	S243
31298	1	S244
31489	1	S245
31689	1	S246
31879	1	S247
32080	1	S248
32280	1	S249
32471	1	S250
32671	1	S251
32861	1	S252
33062	1	S253
33252	1	S254
33453	1	S255
