onset	duration	type
1	n/a	boundary
184	1	S113
375	1	S114
575	1	S115
776	1	S116
966	1	S117
1166	1	S118
1357	1	S119
1557	1	S120
1748	1	S121
1948	1	S122
2148	1	S123
2339	1	S124
2539	1	S125
2730	1	S126
2930	1	S127
3120	1	S128
3321	1	S129
3521	1	S130
3712	1	S131
3912	1	S132
4102	1	S133
4303	1	S134
4503	1	S135
4694	1	S136
4894	1	S137
5084	1	S138
5285	1	S139
5475	1	S140
5676	1	S141
5876	1	S142
6066	1	S143
6267	1	S144
6457	1	S145
6658	1	S146
6848	1	S147
7049	1	S148
7249	1	S149
7439	1	S150
7640	1	S151
7830	1	S152
8031	1	S153
8221	1	S154
8421	1	S155
8622	1	S156
8812	1	S157
9013	1	S158
9203	1	S159
9403	1	S160
9594	1	S161
9794	1	S162
9995	1	S163
10185	1	S164
10385	1	S165
10576	1	S166
10776	1	S167
10967	1	S168
11167	1	S169
11367	1	S170
11558	1	S171
11758	1	S172
11949	1	S173
12149	1	S174
12339	1	S175
12540	1	S176
12740	1	S177
12931	1	S178
13131	1	S179
13322	1	S180
13522	1	S181
13712	1	S182
13913	1	S183
14113	1	S184
14304	1	S185
14504	1	S186
14694	1	S187
14895	1	S188
15085	1	S189
15286	1	S190
15486	1	S191
15676	1	S192
15877	1	S193
16067	1	S194
16268	1	S195
16458	1	S196
16658	1	S197
16859	1	S198
17049	1	S199
17250	1	S200
17440	1	S201
17640	1	S202
17831	1	S203
18031	1	S204
18232	1	S205
18422	1	S206
18623	1	S207
18813	1	S208
19013	1	S209
19204	1	S210
19404	1	S211
19605	1	S212
19795	1	S213
19995	1	S214
20186	1	S215
20386	1	S216
20587	1	S217
20777	1	S218
20977	1	S219
21168	1	S220
21368	1	S221
21559	1	S222
21759	1	S223
21959	1	S224
22150	1	S225
22350	1	S226
22541	1	S227
22741	1	S228
22931	1	S229
23132	1	S230
23332	1	S231
23523	1	S232
23723	1	S233
23913	1	S234
24114	1	S235
24304	1	S236
24505	1	S237
24705	1	S238
24896	1	S239
25096	1	S240
25286	1	S241
25487	1	S242
25677	1	S243
25878	1	S244
26078	1	S245
26268	1	S246
26469	1	S247
26659	1	S248
26860	1	S249
27050	1	S250
27250	1	S251
27451	1	S252
27641	1	S253
27842	1	S254
28032	1	S255
28423	1	S  1
28623	1	S  2
28824	1	S  3
29014	1	S  4
29214	1	S  5
29405	1	S  6
29605	1	S  7
29796	1	S  8
29996	1	S  9
30196	1	S 10
30387	1	S 11
30587	1	S 12
30778	1	S 13
30978	1	S 14
31169	1	S 15
31369	1	S 16
31569	1	S 17
31760	1	S 18
31960	1	S 19
32151	1	S 20
32351	1	S 21
32541	1	S 22
32742	1	S 23
32942	1	S 24
33133	1	S 25
33333	1	S 26
33523	1	S 27
33724	1	S 28
33914	1	S 29
34115	1	S 30
34315	1	S 31
34505	1	S 32
34706	1	S 33
34896	1	S 34
35097	1	S 35
35297	1	S 36
35487	1	S 37
35688	1	S 38
35878	1	S 39
36079	1	S 40
36269	1	S 41
36469	1	S 42
36670	1	S 43
36860	1	S 44
37061	1	S 45
37251	1	S 46
37452	1	S 47
37642	1	S 48
37842	1	S 49
38043	1	S 50
38233	1	S 51
38434	1	S 52
38624	1	S 53
38824	1	S 54
39015	1	S 55
39215	1	S 56
39416	1	S 57
39606	1	S 58
39806	1	S 59
39997	1	S 60
40197	1	S 61
40388	1	S 62
40588	1	S 63
40788	1	S 64
40979	1	S 65
41179	1	S 66
41370	1	S 67
41570	1	S 68
41760	1	S 69
41961	1	S 70
42161	1	S 71
42352	1	S 72
42552	1	S 73
42742	1	S 74
42943	1	S 75
43133	1	S 76
43334	1	S 77
43534	1	S 78
43725	1	S 79
43925	1	S 80
44115	1	S 81
44316	1	S 82
44506	1	S 83
44707	1	S 84
44907	1	S 85
45097	1	S 86
45298	1	S 87
45488	1	S 88
45689	1	S 89
45879	1	S 90
46079	1	S 91
46280	1	S 92
46470	1	S 93
46671	1	S 94
46861	1	S 95
47061	1	S 96
47252	1	S 97
47452	1	S 98
47653	1	S 99
47843	1	S100
48043	1	S101
48234	1	S102
48434	1	S103
48625	1	S104
48825	1	S105
49026	1	S106
49216	1	S107
49416	1	S108
49607	1	S109
49807	1	S110
49998	1	S111
50198	1	S112
50398	1	S113
50589	1	S114
50789	1	S115
50980	1	S116
51180	1	S117
51380	1	S118
51571	1	S119
51771	1	S120
51962	1	S121
52162	1	S122
52352	1	S123
52553	1	S124
52753	1	S125
52944	1	S126
53144	1	S127
53334	1	S128
53535	1	S129
53725	1	S130
53926	1	S131
54126	1	S132
54316	1	S133
54517	1	S134
54707	1	S135
54908	1	S136
55098	1	S137
55299	1	S138
55499	1	S139
55689	1	S140
55890	1	S141
56080	1	S142
56281	1	S143
56471	1	S144
56671	1	S145
56872	1	S146
57062	1	S147
57263	1	S148
57453	1	S149
57653	1	S150
57844	1	S151
58044	1	S152
58245	1	S153
58435	1	S154
58635	1	S155
58826	1	S156
59026	1	S157
59217	1	S158
59417	1	S159
59617	1	S160
59808	1	S161
60008	1	S162
60199	1	S163
60399	1	S164
60590	1	S165
60790	1	S166
60990	1	S167
61181	1	S168
61381	1	S169
61572	1	S170
61772	1	S171
61962	1	S172
62163	1	S173
62363	1	S174
62554	1	S175
62754	1	S176
62944	1	S177
63145	1	S178
63335	1	S179
63536	1	S180
63736	1	S181
63926	1	S182
64127	1	S183
64317	1	S184
64518	1	S185
64708	1	S186
64908	1	S187
65109	1	S188
65299	1	S189
65500	1	S190
65690	1	S191
65890	1	S192
66081	1	S193
66281	1	S194
