name	type	units	low_cutoff	high_cutoff
Fp1	EEG	µV	n/a	n/a
Fp2	EEG	µV	n/a	n/a
F7	EEG	µV	n/a	n/a
F3	EEG	µV	n/a	n/a
Fz	EEG	µV	n/a	n/a
F4	EEG	µV	n/a	n/a
F8	EEG	µV	n/a	n/a
FC5	EEG	µV	n/a	n/a
FC1	EEG	µV	n/a	n/a
FC2	EEG	µV	n/a	n/a
FC6	EEG	µV	n/a	n/a
T7	EEG	µV	n/a	n/a
C3	EEG	µV	n/a	n/a
Cz	EEG	µV	n/a	n/a
C4	EEG	µV	n/a	n/a
T8	EEG	µV	n/a	n/a
TP9	EEG	µV	n/a	n/a
CP5	EEG	µV	n/a	n/a
CP1	EEG	µV	n/a	n/a
CP2	EEG	µV	n/a	n/a
CP6	EEG	µV	n/a	n/a
TP10	EEG	µV	n/a	n/a
P7	EEG	µV	n/a	n/a
P3	EEG	µV	n/a	n/a
Pz	EEG	µV	n/a	n/a
P4	EEG	µV	n/a	n/a
P8	EEG	µV	n/a	n/a
PO9	EEG	µV	n/a	n/a
O1	EEG	µV	n/a	n/a
Oz	EEG	µV	n/a	n/a
O2	EEG	µV	n/a	n/a
PO10	EEG	µV	n/a	n/a
AF7	EEG	µV	n/a	n/a
AF3	EEG	µV	n/a	n/a
AF4	EEG	µV	n/a	n/a
AF8	EEG	µV	n/a	n/a
F5	EEG	µV	n/a	n/a
F1	EEG	µV	n/a	n/a
F2	EEG	µV	n/a	n/a
F6	EEG	µV	n/a	n/a
FT9	EEG	µV	n/a	n/a
FT7	EEG	µV	n/a	n/a
FC3	EEG	µV	n/a	n/a
FC4	EEG	µV	n/a	n/a
FT8	EEG	µV	n/a	n/a
FT10	EEG	µV	n/a	n/a
C5	EEG	µV	n/a	n/a
C1	EEG	µV	n/a	n/a
C2	EEG	µV	n/a	n/a
C6	EEG	µV	n/a	n/a
TP7	EEG	µV	n/a	n/a
CP3	EEG	µV	n/a	n/a
CPz	EEG	µV	n/a	n/a
CP4	EEG	µV	n/a	n/a
TP8	EEG	µV	n/a	n/a
P5	EEG	µV	n/a	n/a
P1	EEG	µV	n/a	n/a
P2	EEG	µV	n/a	n/a
P6	EEG	µV	n/a	n/a
PO7	EEG	µV	n/a	n/a
PO3	EEG	µV	n/a	n/a
POz	EEG	µV	n/a	n/a
PO4	EEG	µV	n/a	n/a
PO8	EEG	µV	n/a	n/a
