onset	duration	type
1	n/a	boundary
180	1	S 95
381	1	S 96
581	1	S 97
772	1	S 98
972	1	S 99
1162	1	S100
1363	1	S101
1563	1	S102
1754	1	S103
1954	1	S104
2145	1	S105
2345	1	S106
2535	1	S107
2736	1	S108
2936	1	S109
3127	1	S110
3327	1	S111
3517	1	S112
3718	1	S113
3908	1	S114
4109	1	S115
4309	1	S116
4499	1	S117
4700	1	S118
4890	1	S119
5091	1	S120
5281	1	S121
5481	1	S122
5682	1	S123
5872	1	S124
6073	1	S125
6263	1	S126
6463	1	S127
6654	1	S128
6854	1	S129
7055	1	S130
7245	1	S131
7445	1	S132
7636	1	S133
7836	1	S134
8027	1	S135
8227	1	S136
8428	1	S137
8618	1	S138
8818	1	S139
9009	1	S140
9209	1	S141
9400	1	S142
9600	1	S143
9800	1	S144
9991	1	S145
10191	1	S146
10382	1	S147
10582	1	S148
10772	1	S149
10973	1	S150
11173	1	S151
11364	1	S152
11564	1	S153
11754	1	S154
11955	1	S155
12145	1	S156
12346	1	S157
12546	1	S158
12736	1	S159
12937	1	S160
13127	1	S161
13328	1	S162
13518	1	S163
13718	1	S164
13919	1	S165
14109	1	S166
14310	1	S167
14500	1	S168
14701	1	S169
14891	1	S170
15091	1	S171
15292	1	S172
15482	1	S173
15683	1	S174
15873	1	S175
16073	1	S176
16264	1	S177
16464	1	S178
16665	1	S179
16855	1	S180
17055	1	S181
17246	1	S182
17446	1	S183
17647	1	S184
17837	1	S185
18037	1	S186
18228	1	S187
18428	1	S188
18619	1	S189
18819	1	S190
19019	1	S191
19210	1	S192
19410	1	S193
19601	1	S194
19801	1	S195
19991	1	S196
20192	1	S197
20392	1	S198
20583	1	S199
20783	1	S200
20974	1	S201
21174	1	S202
21364	1	S203
21565	1	S204
21765	1	S205
21956	1	S206
22156	1	S207
22346	1	S208
22547	1	S209
22737	1	S210
22938	1	S211
23138	1	S212
23328	1	S213
23529	1	S214
23719	1	S215
23920	1	S216
24110	1	S217
24310	1	S218
24511	1	S219
24701	1	S220
24902	1	S221
25092	1	S222
25292	1	S223
25483	1	S224
25683	1	S225
25884	1	S226
26074	1	S227
26274	1	S228
26465	1	S229
26665	1	S230
26856	1	S231
27056	1	S232
27256	1	S233
27447	1	S234
27647	1	S235
27838	1	S236
28038	1	S237
28229	1	S238
28429	1	S239
28629	1	S240
28820	1	S241
29020	1	S242
29211	1	S243
29411	1	S244
29601	1	S245
29802	1	S246
30002	1	S247
30193	1	S248
30393	1	S249
30583	1	S250
30784	1	S251
30974	1	S252
31175	1	S253
31375	1	S254
31565	1	S255
31956	1	S  1
32157	1	S  2
32347	1	S  3
32547	1	S  4
32748	1	S  5
32938	1	S  6
33139	1	S  7
33329	1	S  8
33529	1	S  9
33720	1	S 10
33920	1	S 11
34121	1	S 12
34311	1	S 13
34512	1	S 14
34702	1	S 15
34902	1	S 16
35103	1	S 17
35293	1	S 18
35494	1	S 19
35684	1	S 20
35884	1	S 21
36075	1	S 22
36275	1	S 23
