onset	duration	type
1	n/a	boundary
111	1	S184
302	1	S185
502	1	S186
693	1	S187
893	1	S188
1083	1	S189
1284	1	S190
1484	1	S191
1675	1	S192
1875	1	S193
2065	1	S194
2266	1	S195
2456	1	S196
2657	1	S197
2857	1	S198
3047	1	S199
3248	1	S200
3438	1	S201
3639	1	S202
3829	1	S203
4030	1	S204
4230	1	S205
4420	1	S206
4621	1	S207
4811	1	S208
5012	1	S209
5202	1	S210
5402	1	S211
5603	1	S212
5793	1	S213
5994	1	S214
6184	1	S215
6384	1	S216
6575	1	S217
6775	1	S218
6976	1	S219
7166	1	S220
7366	1	S221
7557	1	S222
7757	1	S223
7948	1	S224
8148	1	S225
8348	1	S226
8539	1	S227
8739	1	S228
8930	1	S229
9130	1	S230
9320	1	S231
9521	1	S232
9721	1	S233
9912	1	S234
10112	1	S235
10303	1	S236
10503	1	S237
10693	1	S238
10894	1	S239
11094	1	S240
11285	1	S241
11485	1	S242
11675	1	S243
11876	1	S244
12066	1	S245
12267	1	S246
12467	1	S247
12657	1	S248
12858	1	S249
13048	1	S250
13249	1	S251
13439	1	S252
13639	1	S253
13840	1	S254
14030	1	S255
14421	1	S  1
14621	1	S  2
14812	1	S  3
15012	1	S  4
15213	1	S  5
15403	1	S  6
15603	1	S  7
15794	1	S  8
15994	1	S  9
16195	1	S 10
16385	1	S 11
16586	1	S 12
16776	1	S 13
16976	1	S 14
17167	1	S 15
17367	1	S 16
17568	1	S 17
17758	1	S 18
17958	1	S 19
18149	1	S 20
18349	1	S 21
18540	1	S 22
18740	1	S 23
18940	1	S 24
19131	1	S 25
19331	1	S 26
19522	1	S 27
19722	1	S 28
19912	1	S 29
20113	1	S 30
20313	1	S 31
20504	1	S 32
20704	1	S 33
20894	1	S 34
21095	1	S 35
21285	1	S 36
21486	1	S 37
21686	1	S 38
21876	1	S 39
22077	1	S 40
22267	1	S 41
22468	1	S 42
22658	1	S 43
22859	1	S 44
23059	1	S 45
23249	1	S 46
23450	1	S 47
23640	1	S 48
23841	1	S 49
24031	1	S 50
24231	1	S 51
24432	1	S 52
24622	1	S 53
24823	1	S 54
25013	1	S 55
25213	1	S 56
25404	1	S 57
25604	1	S 58
25805	1	S 59
25995	1	S 60
26195	1	S 61
26386	1	S 62
26586	1	S 63
26777	1	S 64
26977	1	S 65
27177	1	S 66
27368	1	S 67
27568	1	S 68
27759	1	S 69
27959	1	S 70
28149	1	S 71
28350	1	S 72
28550	1	S 73
28741	1	S 74
28941	1	S 75
29131	1	S 76
29332	1	S 77
29522	1	S 78
29723	1	S 79
29923	1	S 80
30114	1	S 81
30314	1	S 82
30504	1	S 83
30705	1	S 84
30895	1	S 85
31096	1	S 86
31296	1	S 87
31486	1	S 88
31687	1	S 89
31877	1	S 90
32078	1	S 91
32278	1	S 92
32468	1	S 93
32669	1	S 94
32859	1	S 95
33060	1	S 96
33250	1	S 97
33450	1	S 98
33651	1	S 99
33841	1	S100
34042	1	S101
34232	1	S102
34432	1	S103
34623	1	S104
34823	1	S105
35024	1	S106
35214	1	S107
35414	1	S108
35605	1	S109
35805	1	S110
35996	1	S111
36196	1	S112
36397	1	S113
36587	1	S114
36787	1	S115
36978	1	S116
37178	1	S117
37369	1	S118
37569	1	S119
37769	1	S120
37960	1	S121
38160	1	S122
38351	1	S123
38551	1	S124
38741	1	S125
38942	1	S126
39142	1	S127
39333	1	S128
39533	1	S129
39723	1	S130
39924	1	S131
40114	1	S132
40315	1	S133
40515	1	S134
40705	1	S135
40906	1	S136
41096	1	S137
41297	1	S138
41487	1	S139
41687	1	S140
41888	1	S141
42078	1	S142
42279	1	S143
42469	1	S144
42670	1	S145
42860	1	S146
43060	1	S147
43261	1	S148
43451	1	S149
43652	1	S150
43842	1	S151
44042	1	S152
44233	1	S153
44433	1	S154
44634	1	S155
44824	1	S156
45024	1	S157
45215	1	S158
45415	1	S159
45606	1	S160
45806	1	S161
46006	1	S162
46197	1	S163
46397	1	S164
46588	1	S165
46788	1	S166
46978	1	S167
47179	1	S168
47379	1	S169
47570	1	S170
47770	1	S171
47960	1	S172
48161	1	S173
48361	1	S174
48552	1	S175
48752	1	S176
48943	1	S177
49143	1	S178
49333	1	S179
49534	1	S180
49734	1	S181
49925	1	S182
50125	1	S183
50315	1	S184
