onset	duration	type
1	n/a	boundary
170	1	S 86
370	1	S 87
570	1	S 88
761	1	S 89
961	1	S 90
1152	1	S 91
1352	1	S 92
1542	1	S 93
1743	1	S 94
1943	1	S 95
2134	1	S 96
2334	1	S 97
2524	1	S 98
2725	1	S 99
2915	1	S100
3116	1	S101
3316	1	S102
3507	1	S103
3707	1	S104
3897	1	S105
4098	1	S106
4288	1	S107
4489	1	S108
4689	1	S109
4879	1	S110
5080	1	S111
5270	1	S112
5471	1	S113
5661	1	S114
5861	1	S115
6062	1	S116
6252	1	S117
6453	1	S118
6643	1	S119
6843	1	S120
7034	1	S121
7234	1	S122
7435	1	S123
7625	1	S124
7825	1	S125
8016	1	S126
8216	1	S127
8407	1	S128
8607	1	S129
8807	1	S130
8998	1	S131
9198	1	S132
9389	1	S133
9589	1	S134
9780	1	S135
9980	1	S136
10180	1	S137
10371	1	S138
10571	1	S139
10762	1	S140
10962	1	S141
11152	1	S142
11353	1	S143
11553	1	S144
11744	1	S145
11944	1	S146
12134	1	S147
12335	1	S148
12525	1	S149
12726	1	S150
12926	1	S151
13116	1	S152
13317	1	S153
13507	1	S154
13708	1	S155
13908	1	S156
14098	1	S157
14299	1	S158
14489	1	S159
14690	1	S160
14880	1	S161
15080	1	S162
15281	1	S163
15471	1	S164
15672	1	S165
15862	1	S166
16063	1	S167
16253	1	S168
16453	1	S169
16654	1	S170
16844	1	S171
17045	1	S172
17235	1	S173
17435	1	S174
17626	1	S175
17826	1	S176
18027	1	S177
18217	1	S178
18417	1	S179
18608	1	S180
18808	1	S181
18999	1	S182
19199	1	S183
19399	1	S184
19590	1	S185
19790	1	S186
19981	1	S187
20181	1	S188
20371	1	S189
20572	1	S190
20772	1	S191
20963	1	S192
21163	1	S193
21353	1	S194
21554	1	S195
21744	1	S196
21945	1	S197
22145	1	S198
22336	1	S199
22536	1	S200
22726	1	S201
22927	1	S202
23117	1	S203
23318	1	S204
23518	1	S205
23708	1	S206
23909	1	S207
24099	1	S208
24300	1	S209
24490	1	S210
24690	1	S211
24891	1	S212
25081	1	S213
25282	1	S214
25472	1	S215
25672	1	S216
25863	1	S217
26063	1	S218
26264	1	S219
26454	1	S220
26654	1	S221
26845	1	S222
27045	1	S223
27236	1	S224
27436	1	S225
27637	1	S226
27827	1	S227
28027	1	S228
28218	1	S229
28418	1	S230
28609	1	S231
28809	1	S232
29009	1	S233
29200	1	S234
29400	1	S235
29591	1	S236
29791	1	S237
29991	1	S238
30182	1	S239
30382	1	S240
30573	1	S241
30773	1	S242
30963	1	S243
31164	1	S244
31364	1	S245
31555	1	S246
31755	1	S247
31945	1	S248
32146	1	S249
32336	1	S250
32537	1	S251
32737	1	S252
32927	1	S253
33128	1	S254
33318	1	S255
33709	1	S  1
33910	1	S  2
34110	1	S  3
34300	1	S  4
34501	1	S  5
34691	1	S  6
34892	1	S  7
35082	1	S  8
35282	1	S  9
35483	1	S 10
35673	1	S 11
35874	1	S 12
36064	1	S 13
36264	1	S 14
36455	1	S 15
36655	1	S 16
36856	1	S 17
37046	1	S 18
37246	1	S 19
37437	1	S 20
37637	1	S 21
37828	1	S 22
38028	1	S 23
38228	1	S 24
38419	1	S 25
38619	1	S 26
38810	1	S 27
39010	1	S 28
39200	1	S 29
39401	1	S 30
39601	1	S 31
39792	1	S 32
39992	1	S 33
40183	1	S 34
40383	1	S 35
40573	1	S 36
40774	1	S 37
40974	1	S 38
41165	1	S 39
41365	1	S 40
41555	1	S 41
41756	1	S 42
41946	1	S 43
42147	1	S 44
42347	1	S 45
42537	1	S 46
42738	1	S 47
42928	1	S 48
43129	1	S 49
43319	1	S 50
43519	1	S 51
43720	1	S 52
43910	1	S 53
