onset	duration	type
1	n/a	boundary
169	1	S238
369	1	S239
560	1	S240
760	1	S241
951	1	S242
1151	1	S243
1351	1	S244
1542	1	S245
1742	1	S246
1933	1	S247
2133	1	S248
2323	1	S249
2524	1	S250
2724	1	S251
2915	1	S252
3115	1	S253
3305	1	S254
3506	1	S255
3897	1	S  1
4097	1	S  2
4287	1	S  3
4488	1	S  4
4678	1	S  5
4879	1	S  6
5069	1	S  7
5269	1	S  8
5470	1	S  9
5660	1	S 10
5861	1	S 11
6051	1	S 12
6251	1	S 13
6452	1	S 14
6642	1	S 15
6843	1	S 16
7033	1	S 17
7234	1	S 18
7424	1	S 19
7624	1	S 20
7825	1	S 21
8015	1	S 22
8216	1	S 23
8406	1	S 24
8606	1	S 25
8797	1	S 26
8997	1	S 27
9198	1	S 28
9388	1	S 29
9588	1	S 30
9779	1	S 31
9979	1	S 32
10170	1	S 33
10370	1	S 34
10570	1	S 35
10761	1	S 36
10961	1	S 37
11152	1	S 38
11352	1	S 39
11542	1	S 40
11743	1	S 41
11943	1	S 42
12134	1	S 43
12334	1	S 44
12524	1	S 45
12725	1	S 46
12915	1	S 47
13116	1	S 48
13316	1	S 49
13507	1	S 50
13707	1	S 51
13897	1	S 52
14098	1	S 53
14288	1	S 54
14489	1	S 55
14689	1	S 56
14879	1	S 57
15080	1	S 58
15270	1	S 59
15471	1	S 60
15661	1	S 61
15861	1	S 62
16062	1	S 63
16252	1	S 64
16453	1	S 65
16643	1	S 66
16843	1	S 67
17034	1	S 68
17234	1	S 69
17435	1	S 70
17625	1	S 71
17825	1	S 72
18016	1	S 73
18216	1	S 74
18407	1	S 75
18607	1	S 76
18807	1	S 77
18998	1	S 78
19198	1	S 79
19389	1	S 80
19589	1	S 81
19780	1	S 82
19980	1	S 83
20180	1	S 84
20371	1	S 85
20571	1	S 86
20762	1	S 87
20962	1	S 88
21152	1	S 89
21353	1	S 90
21553	1	S 91
21744	1	S 92
21944	1	S 93
22134	1	S 94
22335	1	S 95
22535	1	S 96
22726	1	S 97
22926	1	S 98
23116	1	S 99
23317	1	S100
23507	1	S101
23708	1	S102
23908	1	S103
24098	1	S104
24299	1	S105
24489	1	S106
24690	1	S107
24880	1	S108
25080	1	S109
25281	1	S110
25471	1	S111
25672	1	S112
25862	1	S113
26063	1	S114
26253	1	S115
26453	1	S116
26654	1	S117
26844	1	S118
27045	1	S119
27235	1	S120
27435	1	S121
27626	1	S122
27826	1	S123
28027	1	S124
28217	1	S125
28417	1	S126
28608	1	S127
28808	1	S128
28999	1	S129
