onset	duration	type
1	n/a	boundary
109419	1	S  1
109620	1	S  2
109810	1	S  3
110010	1	S  4
110201	1	S  5
110401	1	S  6
110602	1	S  7
110792	1	S  8
110993	1	S  9
111183	1	S 10
111383	1	S 11
111584	1	S 12
111774	1	S 13
111975	1	S 14
112165	1	S 15
112365	1	S 16
112556	1	S 17
112756	1	S 18
112957	1	S 19
113147	1	S 20
113347	1	S 21
113538	1	S 22
113738	1	S 23
113929	1	S 24
114129	1	S 25
114329	1	S 26
114520	1	S 27
114720	1	S 28
114911	1	S 29
115111	1	S 30
115301	1	S 31
115502	1	S 32
115702	1	S 33
115893	1	S 34
116093	1	S 35
116283	1	S 36
116484	1	S 37
116674	1	S 38
116875	1	S 39
117075	1	S 40
117266	1	S 41
117466	1	S 42
