onset	duration	type
1	n/a	boundary
108	1	S 57
298	1	S 58
499	1	S 59
689	1	S 60
889	1	S 61
1090	1	S 62
1280	1	S 63
1481	1	S 64
1671	1	S 65
1871	1	S 66
2062	1	S 67
2262	1	S 68
2463	1	S 69
2653	1	S 70
2853	1	S 71
3044	1	S 72
3244	1	S 73
3435	1	S 74
3635	1	S 75
3836	1	S 76
4026	1	S 77
4226	1	S 78
4417	1	S 79
4617	1	S 80
4808	1	S 81
5008	1	S 82
5208	1	S 83
5399	1	S 84
5599	1	S 85
5790	1	S 86
5990	1	S 87
6180	1	S 88
6381	1	S 89
6581	1	S 90
6772	1	S 91
6972	1	S 92
7162	1	S 93
7363	1	S 94
7553	1	S 95
7754	1	S 96
7954	1	S 97
8144	1	S 98
8345	1	S 99
8535	1	S100
8736	1	S101
8926	1	S102
9126	1	S103
9327	1	S104
9517	1	S105
9718	1	S106
9908	1	S107
10109	1	S108
10299	1	S109
10499	1	S110
10700	1	S111
10890	1	S112
11091	1	S113
11281	1	S114
11481	1	S115
11672	1	S116
11872	1	S117
12073	1	S118
12263	1	S119
12463	1	S120
12654	1	S121
12854	1	S122
13045	1	S123
13245	1	S124
13445	1	S125
13636	1	S126
13836	1	S127
14027	1	S128
14227	1	S129
14427	1	S130
14618	1	S131
14818	1	S132
15009	1	S133
15209	1	S134
15399	1	S135
15600	1	S136
15800	1	S137
15991	1	S138
16191	1	S139
16382	1	S140
16582	1	S141
16772	1	S142
16973	1	S143
17173	1	S144
17364	1	S145
17564	1	S146
17754	1	S147
17955	1	S148
18145	1	S149
18346	1	S150
18546	1	S151
18736	1	S152
18937	1	S153
19127	1	S154
19328	1	S155
19518	1	S156
19718	1	S157
19919	1	S158
20109	1	S159
20310	1	S160
